,0
Afghanistan,0
Akrotiri Sovereign Base Area,1
Aland,2
Albania,3
Algeria,4
American Samoa,5
Andorra,6
Angola,7
Anguilla,8
Antarctica,9
Antigua and Barbuda,10
Argentina,11
Armenia,12
Aruba,13
Ashmore and Cartier Islands,14
Australia,15
Austria,16
Azerbaijan,17
Bahrain,18
Bangladesh,19
Barbados,20
Baykonur Cosmodrome,21
Belarus,22
Belgium,23
Belize,24
Benin,25
Bermuda,26
Bhutan,27
Bolivia,28
Bosnia and Herzegovina,29
Botswana,30
Brazil,31
British Indian Ocean Territory,32
British Virgin Islands,33
Brunei,34
Bulgaria,35
Burkina Faso,36
Burundi,37
Cambodia,38
Cameroon,39
Canada,40
Cape Verde,41
Caribbean Netherlands,42
Cayman Islands,43
Central African Republic,44
Chad,45
Chile,46
China,47
Clipperton Island,48
Colombia,49
Comoros,50
Cook Islands,51
Coral Sea Islands,52
Costa Rica,53
Croatia,54
Cuba,55
Curaçao,56
Cyprus,57
Czech Republic,58
Democratic Republic of the Congo,59
Denmark,60
Dhekelia Sovereign Base Area,61
Djibouti,62
Dominica,63
Dominican Republic,64
East Timor,65
Ecuador,66
Egypt,67
El Salvador,68
Equatorial Guinea,69
Eritrea,70
Estonia,71
Ethiopia,72
Falkland Islands,73
Faroe Islands,74
Federated States of Micronesia,75
Fiji,76
Finland,77
France,78
French Polynesia,79
French Southern and Antarctic Lands,80
Gabon,81
Gambia,82
Gaza Strip,83
Georgia,84
Germany,85
Ghana,86
Gibraltar,87
Greece,88
Greenland,89
Grenada,90
Guam,91
Guatemala,92
Guernsey,93
Guinea,94
Guinea Bissau,95
Guyana,96
Haiti,97
Heard Island and McDonald Islands,98
Honduras,99
Hong Kong S.A.R.,100
Hungary,101
Iceland,102
India,103
Indian Ocean Territories,104
Indonesia,105
Iran,106
Iraq,107
Ireland,108
Isle of Man,109
Palestine,110
Italy,111
Ivory Coast,112
Jamaica,113
Japan,114
Jersey,115
Jordan,116
Kazakhstan,117
Kenya,118
Kiribati,119
Kosovo,120
Kuwait,121
Kyrgyzstan,122
Laos,123
Latvia,124
Lebanon,125
Lesotho,126
Liberia,127
Libya,128
Liechtenstein,129
Lithuania,130
Luxembourg,131
Macau S.A.R,132
Macedonia,133
Madagascar,134
Malawi,135
Malaysia,136
Maldives,137
Mali,138
Malta,139
Marshall Islands,140
Mauritania,141
Mauritius,142
Mexico,143
Moldova,144
Monaco,145
Mongolia,146
Montenegro,147
Montserrat,148
Morocco,149
Mozambique,150
Myanmar,151
Namibia,152
Nauru,153
Nepal,154
Netherlands,155
New Caledonia,156
New Zealand,157
Nicaragua,158
Niger,159
Nigeria,160
Niue,161
Norfolk Island,162
North Korea,163
Northern Cyprus,164
Northern Mariana Islands,165
Norway,166
Oman,167
Pakistan,168
Palau,169
Panama,170
Papua New Guinea,171
Paraguay,172
Peru,173
Philippines,174
Pitcairn Islands,175
Poland,176
Portugal,177
Puerto Rico,178
Qatar,179
Republic of Serbia,180
Republic of the Congo,181
Romania,182
Russia,183
Rwanda,184
S. Sudan,185
Saint Barthelemy,186
Saint Helena,187
Saint Kitts and Nevis,188
Saint Lucia,189
Saint Martin,190
Saint Pierre and Miquelon,191
Saint Vincent and the Grenadines,192
Samoa,193
San Marino,194
Sao Tome and Principe,195
Saudi Arabia,196
Senegal,197
Seychelles,198
Siachen Glacier,199
Sierra Leone,200
Singapore,201
Sint Maarten,202
Slovakia,203
Slovenia,204
Solomon Islands,205
Somalia,206
Somaliland,207
South Africa,208
South Georgia and the Islands,209
South Korea,210
Spain,211
Spratly Is.,212
Sri Lanka,213
Sudan,214
Suriname,215
Swaziland,216
Sweden,217
Switzerland,218
Syria,219
Taiwan,220
Tajikistan,221
Thailand,222
The Bahamas,223
Togo,224
Tonga,225
Trinidad and Tobago,226
Tunisia,227
Turkey,228
Turkmenistan,229
Turks and Caicos Islands,230
Tuvalu,231
Uganda,232
Ukraine,233
United Arab Emirates,234
United Kingdom,235
United Republic of Tanzania,236
United States Minor Outlying Islands,237
United States of America,238
United States Virgin Islands,239
Uruguay,240
US Naval Base Guantanamo Bay,241
Uzbekistan,242
Vanuatu,243
Vatican,244
Venezuela,245
Vietnam,246
Wallis and Futuna,247
West Bank,248
Western Sahara,249
Yemen,250
Zambia,251
Zimbabwe,252
unknown, 253
